"Номер заказа";"Номер отправления";"Дата создания заказа";"Дата отгрузки";"Статус";"Сумма отправления";"Наименование товара";"OZON id";"Артикул";"Итоговая стоимость товара";"Количество"
"39284417-0010";"39284417-0010-7";"2020-06-12 19:20:22";"2020-06-14 10:00:00";"Ожидает сборки";"370.00";"Носки ""Капитан Америка""";"169256379";"319";"370.00";"1"
"36763810-0011";"36763810-0011-2";"2020-06-12 16:24:03";"2020-06-14 10:00:00";"Ожидает сборки";"370.00";"Арт носки ""Мопс присел""";"169917488";"M1117";"370.00";"1"
"02966088-0086";"02966088-0086-1";"2020-06-12 15:30:39";"2020-06-13 10:00:00";"Ожидает сборки";"350.00";"Арт носки ""Банановая революция""";"169831049";"M1269";"350.00";"1"
"02966088-0086";"02966088-0086-1";"2020-06-12 15:30:39";"2020-06-13 10:00:00";"Ожидает сборки";"350.00";"Арт носки ""Падение мячей""";"169831155";"M1307";"350.00";"1"
"46949958-0002";"46949958-0002-2";"2020-06-12 13:17:18";"2020-06-13 10:00:00";"Ожидает сборки";"370.00";"Арт носки ""Микки маус""";"169834792";"M1073";"370.00";"1"
"45958854-0010";"45958854-0010-1";"2020-06-12 08:51:58";"2020-06-13 10:00:00";"Ожидает сборки";"370.00";"Арт носки ""Спанч Боб""";"169831415";"M1078";"370.00";"1"
"40531395-0010";"40531395-0010-3";"2020-06-12 06:52:18";"2020-06-13 10:00:00";"Ожидает сборки";"399.00";"Носки ""Конопляная долина""";"169203053";"262";"399.00";"1"
"25431590-0032";"25431590-0032-2";"2020-06-12 06:00:20";"2020-06-13 10:00:00";"Ожидает сборки";"350.00";"Носки ""Хоккей""";"168914499";"174";"350.00";"1"
"17479725-0184";"17479725-0184-3";"2020-06-11 22:20:26";"2020-06-13 10:00:00";"Ожидает сборки";"350.00";"Носки ""Папа Супермен""";"168915438";"140";"350.00";"1"
"38558410-0017";"38558410-0017-2";"2020-06-11 21:48:21";"2020-06-13 10:00:00";"Ожидает сборки";"370.00";"Носки ""Учёный""";"169231277";"290";"370.00";"1"
"38558410-0016";"38558410-0016-2";"2020-06-11 21:36:00";"2020-06-13 10:00:00";"Отменен";"370.00";"Носки ""Учёный""";"169231277";"290";"370.00";"1"
"23903221-0056";"23903221-0056-3";"2020-06-11 15:34:48";"2020-06-12 10:00:00";"Доставляется";"370.00";"Носки ""Пантера""";"168720420";"102";"370.00";"1"
"24189648-0081";"24189648-0081-6";"2020-06-11 15:14:13";"2020-06-12 10:00:00";"Доставляется";"350.00";"Носки ""Учёный""";"169231277";"290";"350.00";"1"
"36019559-0002";"36019559-0002-4";"2020-06-11 14:50:11";"2020-06-12 10:00:00";"Доставляется";"499.00";"Носки ""Для мужчин""";"169346687";"385";"499.00";"1"
"03435079-0045";"03435079-0045-4";"2020-06-11 11:26:55";"2020-06-12 10:00:00";"Доставляется";"370.00";"Носки ""Учёный""";"169231277";"290";"370.00";"1"
"13631636-0055";"13631636-0055-5";"2020-06-11 08:46:32";"2020-06-12 10:00:00";"Доставляется";"370.00";"Носки ""Супермен""";"169256371";"323";"370.00";"1"
"07867804-0483";"07867804-0483-5";"2020-06-10 23:57:26";"2020-06-12 10:00:00";"Доставляется";"350.00";"Арт носки ""Крутой банан""";"169831192";"M1288";"350.00";"1"
"22983136-0035";"22983136-0035-4";"2020-06-10 22:37:11";"2020-06-13 10:00:00";"Отменен";"370.00";"Носки ""Фрукт Дракона""";"169038326";"227";"370.00";"1"
"22983136-0035";"22983136-0035-4";"2020-06-10 22:37:11";"2020-06-13 10:00:00";"Отменен";"370.00";"Носки ""Подводный мир""";"169038354";"226";"370.00";"1"
"22983136-0035";"22983136-0035-4";"2020-06-10 22:37:11";"2020-06-13 10:00:00";"Отменен";"370.00";"Носки ""Египет""";"169271614";"312";"370.00";"1"
"22983136-0035";"22983136-0035-4";"2020-06-10 22:37:11";"2020-06-13 10:00:00";"Отменен";"370.00";"Носки ""Люблю носки""";"169334669";"365";"370.00";"1"
"42709660-0039";"42709660-0039-3";"2020-06-10 21:54:36";"2020-06-12 10:00:00";"Доставляется";"370.00";"Носки женские дизайнерские с принтом Арт. ""Нутелла""";"171425404";"439";"370.00";"1"
"07966143-0048";"07966143-0048-2";"2020-06-10 20:44:45";"2020-06-12 10:00:00";"Доставляется";"700.00";"Арт носки ""Марвел Халк""";"169831024";"M1032-det";"350.00";"2"
"12704312-0121";"12704312-0121-2";"2020-06-10 19:48:31";"2020-06-12 10:00:00";"Доставляется";"370.00";"Арт носки ""Спанч Боб""";"169830842";"M1078-det";"370.00";"1"
"45941221-0005";"45941221-0005-3";"2020-06-10 19:43:59";"2020-06-12 10:00:00";"Доставляется";"370.00";"Носки женские дизайнерские с принтом Арт. ""Рик""";"171473971";"440";"370.00";"1"
"16191584-0034";"16191584-0034-3";"2020-06-10 19:16:59";"2020-06-12 10:00:00";"Доставляется";"550.00";"Носки""Симпсон семейство""";"169198508";"272";"550.00";"1"
"45083611-0007";"45083611-0007-5";"2020-06-10 18:45:40";"2020-06-12 10:00:00";"Доставляется";"740.00";"Носки женские дизайнерские с принтом Арт. ""Рик""";"171473971";"440";"370.00";"2"
"46161537-0017";"46161537-0017-1";"2020-06-10 17:44:08";"2020-06-12 10:00:00";"Доставляется";"370.00";"Арт носки ""Баскетбол""";"169830941";"M1067-det";"370.00";"1"
"46161537-0017";"46161537-0017-1";"2020-06-10 17:44:08";"2020-06-12 10:00:00";"Доставляется";"370.00";"Арт носки ""Железный человек""";"169836379";"M1283-det";"370.00";"1"
"16925858-0009";"16925858-0009-4";"2020-06-10 16:27:55";"2020-06-12 10:00:00";"Доставляется";"370.00";"Арт носки ""Космический путешественник""";"169830919";"M1022-det";"370.00";"1"
"21225813-0035";"21225813-0035-4";"2020-06-10 15:20:02";"2020-06-14 10:00:00";"Ожидает отгрузки";"350.00";"Набор носков женских ""Кошечки""";"170403815";"411";"350.00";"1"
"40880897-0012";"40880897-0012-3";"2020-06-10 12:20:55";"2020-06-11 10:00:00";"Доставляется";"370.00";"Носки ""Цветочек""";"169038275";"209";"370.00";"1"
"40396286-0007";"40396286-0007-2";"2020-06-10 06:14:12";"2020-06-11 10:00:00";"Доставляется";"370.00";"Носки ""Дерзкая""";"168914324";"181";"370.00";"1"
"24112838-0008";"24112838-0008-2";"2020-06-09 23:30:41";"2020-06-11 10:00:00";"Доставляется";"370.00";"Арт носки ""Спанч Боб""";"169830842";"M1078-det";"370.00";"1"
"24112838-0008";"24112838-0008-2";"2020-06-09 23:30:41";"2020-06-11 10:00:00";"Доставляется";"370.00";"Арт носки ""Микки Маус""";"169835112";"M1175-det";"370.00";"1"
"46710945-0003";"46710945-0003-4";"2020-06-09 19:03:08";"2020-06-11 10:00:00";"Доставляется";"370.00";"Носки ""Банановые бананы""";"169309243";"345";"370.00";"1"
"40880897-0011";"40880897-0011-3";"2020-06-09 16:39:57";"2020-06-11 10:00:00";"Доставляется";"370.00";"Носки ""Лама""";"169099539";"258";"370.00";"1"
"29539544-0009";"29539544-0009-2";"2020-06-09 15:13:56";"2020-06-10 10:00:00";"Доставляется";"370.00";"Арт носки ""Арбузная зебра""";"169969342";"M1055-det";"370.00";"1"
"17180132-0034";"17180132-0034-6";"2020-06-09 14:54:16";"2020-06-10 10:00:00";"Доставляется";"370.00";"Носки ""Лошадки""";"169198495";"278";"370.00";"1"
"17180132-0034";"17180132-0034-6";"2020-06-09 14:54:16";"2020-06-10 10:00:00";"Доставляется";"370.00";"Носки ""Пони""";"169298074";"352";"370.00";"1"
"17180132-0034";"17180132-0034-6";"2020-06-09 14:54:16";"2020-06-10 10:00:00";"Доставляется";"370.00";"Носки женские дизайнерские с принтом ""Единорожка""";"170707562";"422";"370.00";"1"
"46635631-0006";"46635631-0006-3";"2020-06-09 14:14:25";"2020-06-12 10:00:00";"Доставляется";"370.00";"Носки ""Череп цветной""";"169293130";"305";"370.00";"1"
"47325096-0002";"47325096-0002-1";"2020-06-09 10:57:51";"2020-06-10 10:00:00";"Доставляется";"370.00";"Носки ""Лягушка""";"168796976";"143";"370.00";"1"
